fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,R/W,quality
10.7,0.520,0.38,2.6,0.066,29,56,0.99577,3.15,0.79,12.1,R,7
10.7,0.670,0.22,2.7,0.107,17,34,1.00040,3.28,0.98,9.9,R,6
10.7,0.900,0.34,6.6,0.112,23,99,1.00289,3.22,0.68,9.3,R,5
10.8,0.260,0.45,3.3,0.060,20,49,0.99720,3.13,0.54,9.6,R,5
10.8,0.290,0.42,1.6,0.084,19,27,0.99545,3.28,0.73,11.9,R,6
10.8,0.320,0.44,1.6,0.063,16,37,0.99850,3.22,0.78,10.0,R,6
10.8,0.400,0.41,2.2,0.084,7,17,0.99840,3.08,0.67,9.3,R,6
10.8,0.400,0.41,2.2,0.084,7,17,0.99840,3.08,0.67,9.3,R,6
10.8,0.450,0.33,2.5,0.099,20,38,0.99818,3.24,0.71,10.8,R,5
10.8,0.450,0.33,2.5,0.099,20,38,0.99818,3.24,0.71,10.8,R,5
10.8,0.470,0.43,2.1,0.171,27,66,0.99820,3.17,0.76,10.8,R,6
10.8,0.500,0.46,2.5,0.073,5,27,1.00010,3.05,0.64,9.5,R,5
10.8,0.890,0.30,2.6,0.132,7,60,0.99786,2.99,1.18,10.2,R,5
10.9,0.210,0.49,2.8,0.088,11,32,0.99720,3.22,0.68,11.7,R,6
10.9,0.320,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5,R,6
10.9,0.320,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5,R,6
10.9,0.370,0.58,4.0,0.071,17,65,0.99935,3.22,0.78,10.1,R,5
10.9,0.390,0.47,1.8,0.118,6,14,0.99820,3.30,0.75,9.8,R,6
10.9,0.390,0.47,1.8,0.118,6,14,0.99820,3.30,0.75,9.8,R,6
10.9,0.530,0.49,4.6,0.118,10,17,1.00020,3.07,0.56,11.7,R,6
10.9,0.530,0.49,4.6,0.118,10,17,1.00020,3.07,0.56,11.7,R,6
11.0,0.200,0.48,2.0,0.343,6,18,0.99790,3.30,0.71,10.5,R,5
11.0,0.260,0.68,2.6,0.085,10,25,0.99700,3.18,0.61,11.8,R,5
11.0,0.300,0.58,2.1,0.054,7,19,0.99800,3.31,0.88,10.5,R,7
11.1,0.180,0.48,1.5,0.068,7,15,0.99730,3.22,0.64,10.1,R,6
11.1,0.310,0.49,2.7,0.094,16,47,0.99860,3.12,1.02,10.6,R,7
11.1,0.310,0.53,2.2,0.060,3,10,0.99572,3.02,0.83,10.9,R,7
11.1,0.310,0.53,2.2,0.060,3,10,0.99572,3.02,0.83,10.9,R,7
11.1,0.350,0.48,3.1,0.090,5,21,0.99860,3.17,0.53,10.5,R,5
11.1,0.390,0.54,2.7,0.095,21,101,1.00010,3.13,0.51,9.5,R,5
11.1,0.420,0.47,2.7,0.085,9,34,0.99736,3.24,0.77,12.1,R,7
11.1,0.440,0.42,2.2,0.064,14,19,0.99758,3.25,0.57,10.4,R,6
11.1,0.450,0.73,3.2,0.066,6,22,0.99860,3.17,0.66,11.2,R,6
11.2,0.280,0.56,1.9,0.075,17,60,0.99800,3.16,0.58,9.8,R,6
11.2,0.400,0.50,2.0,0.099,19,50,0.99783,3.10,0.58,10.4,R,5
11.2,0.500,0.74,5.2,0.100,5,17,0.99960,3.22,0.62,11.2,R,5
11.2,0.660,0.24,2.5,0.085,16,53,0.99930,3.06,0.72,11.0,R,6
11.2,0.670,0.55,2.3,0.084,6,13,1.00000,3.17,0.71,9.5,R,6
11.3,0.340,0.45,2.0,0.082,6,15,0.99880,2.94,0.66,9.2,R,6
11.3,0.340,0.45,2.0,0.082,6,15,0.99880,2.94,0.66,9.2,R,6
11.3,0.360,0.66,2.4,0.123,3,8,0.99642,3.20,0.53,11.9,R,6
11.3,0.360,0.66,2.4,0.123,3,8,0.99642,3.20,0.53,11.9,R,6
11.3,0.370,0.41,2.3,0.088,6,16,0.99880,3.09,0.80,9.3,R,5
11.3,0.370,0.50,1.8,0.090,20,47,0.99734,3.15,0.57,10.5,R,5
11.3,0.620,0.67,5.2,0.086,6,19,0.99880,3.22,0.69,13.4,R,8
11.4,0.260,0.44,3.6,0.071,6,19,0.99860,3.12,0.82,9.3,R,6
11.4,0.360,0.69,2.1,0.090,6,21,1.00000,3.17,0.62,9.2,R,6
11.4,0.460,0.50,2.7,0.122,4,17,1.00060,3.13,0.70,10.2,R,5
11.4,0.600,0.49,2.7,0.085,10,41,0.99940,3.15,0.63,10.5,R,6
11.4,0.625,0.66,6.2,0.088,6,24,0.99880,3.11,0.99,13.3,R,6
11.5,0.180,0.51,4.0,0.104,4,23,0.99960,3.28,0.97,10.1,R,6
11.5,0.180,0.51,4.0,0.104,4,23,0.99960,3.28,0.97,10.1,R,6
11.5,0.180,0.51,4.0,0.104,4,23,0.99960,3.28,0.97,10.1,R,6
11.5,0.300,0.60,2.0,0.067,12,27,0.99810,3.11,0.97,10.1,R,6
11.5,0.310,0.51,2.2,0.079,14,28,0.99820,3.03,0.93,9.8,R,6
11.5,0.315,0.54,2.1,0.084,5,15,0.99870,2.98,0.70,9.2,R,6
11.5,0.350,0.49,3.3,0.070,10,37,1.00030,3.32,0.91,11.0,R,6
11.5,0.410,0.52,3.0,0.080,29,55,1.00010,3.26,0.88,11.0,R,5
11.5,0.420,0.48,2.6,0.077,8,20,0.99852,3.09,0.53,11.0,R,5
11.5,0.450,0.50,3.0,0.078,19,47,1.00030,3.26,1.11,11.0,R,6
11.5,0.540,0.71,4.4,0.124,6,15,0.99840,3.01,0.83,11.8,R,7
11.5,0.590,0.59,2.6,0.087,13,49,0.99880,3.18,0.65,11.0,R,6
11.5,0.590,0.59,2.6,0.087,13,49,0.99880,3.18,0.65,11.0,R,6
11.6,0.230,0.57,1.8,0.074,3,8,0.99810,3.14,0.70,9.9,R,6
11.6,0.320,0.55,2.8,0.081,35,67,1.00020,3.32,0.92,10.8,R,7
11.6,0.410,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,R,7
11.6,0.410,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,R,7
11.6,0.410,0.58,2.8,0.096,25,101,1.00024,3.13,0.53,10.0,R,5
11.6,0.420,0.53,3.3,0.105,33,98,1.00100,3.20,0.95,9.2,R,5
11.6,0.440,0.64,2.1,0.059,5,15,0.99800,3.21,0.67,10.2,R,6
11.6,0.470,0.44,1.6,0.147,36,51,0.99836,3.38,0.86,9.9,R,4
11.6,0.475,0.40,1.4,0.091,6,28,0.99704,3.07,0.65,10.0,R,6
11.6,0.475,0.40,1.4,0.091,6,28,0.99704,3.07,0.65,10.0,R,6
11.6,0.530,0.66,3.7,0.121,6,14,0.99780,3.05,0.74,11.5,R,7
11.6,0.580,0.66,2.2,0.074,10,47,1.00080,3.25,0.57,9.0,R,3
11.7,0.280,0.47,1.7,0.054,17,32,0.99686,3.15,0.67,10.6,R,7
11.7,0.450,0.63,2.2,0.073,7,23,0.99974,3.21,0.69,10.9,R,6
11.7,0.490,0.49,2.2,0.083,5,15,1.00000,3.19,0.43,9.2,R,5
11.8,0.260,0.52,1.8,0.071,6,10,0.99680,3.20,0.72,10.2,R,7
11.8,0.330,0.49,3.4,0.093,54,80,1.00020,3.30,0.76,10.7,R,7
11.8,0.380,0.55,2.1,0.071,5,19,0.99860,3.11,0.62,10.8,R,6
11.9,0.370,0.69,2.3,0.078,12,24,0.99580,3.00,0.65,12.8,R,6
11.9,0.380,0.49,2.7,0.098,12,42,1.00040,3.16,0.61,10.3,R,5
11.9,0.380,0.49,2.7,0.098,12,42,1.00040,3.16,0.61,10.3,R,5
11.9,0.380,0.51,2.0,0.121,7,20,0.99960,3.24,0.76,10.4,R,6
11.9,0.390,0.69,2.8,0.095,17,35,0.99940,3.10,0.61,10.8,R,6
11.9,0.390,0.69,2.8,0.095,17,35,0.99940,3.10,0.61,10.8,R,6
11.9,0.400,0.65,2.2,0.068,7,27,0.99880,3.06,0.68,11.3,R,6
11.9,0.430,0.66,3.1,0.109,10,23,1.00000,3.15,0.85,10.4,R,7
11.9,0.570,0.50,2.6,0.082,6,32,1.00060,3.12,0.78,10.7,R,6
11.9,0.580,0.58,1.9,0.071,5,18,0.99800,3.09,0.63,10.0,R,6
11.9,0.580,0.66,2.5,0.072,6,37,0.99920,3.05,0.56,10.0,R,5
11.9,0.695,0.53,3.4,0.128,7,21,0.99920,3.17,0.84,12.2,R,7
12.0,0.280,0.49,1.9,0.074,10,21,0.99760,2.98,0.66,9.9,R,7
12.0,0.370,0.76,4.2,0.066,7,38,1.00040,3.22,0.60,13.0,R,7
12.0,0.380,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,R,6
12.0,0.390,0.66,3.0,0.093,12,30,0.99960,3.18,0.63,10.8,R,7
12.0,0.450,0.55,2.0,0.073,25,49,0.99970,3.10,0.76,10.3,R,6
12.0,0.500,0.59,1.4,0.073,23,42,0.99800,2.92,0.68,10.5,R,7
12.0,0.630,0.50,1.4,0.071,6,26,0.99791,3.07,0.60,10.4,R,4
12.1,0.400,0.52,2.0,0.092,15,54,1.00000,3.03,0.66,10.2,R,5
12.2,0.340,0.50,2.4,0.066,10,21,1.00000,3.12,1.18,9.2,R,6
12.2,0.450,0.49,1.4,0.075,3,6,0.99690,3.13,0.63,10.4,R,5
12.2,0.450,0.49,1.4,0.075,3,6,0.99690,3.13,0.63,10.4,R,5
12.2,0.480,0.54,2.6,0.085,19,64,1.00000,3.10,0.61,10.5,R,6
12.3,0.270,0.49,3.1,0.079,28,46,0.99930,3.20,0.80,10.2,R,6
12.3,0.390,0.63,2.3,0.091,6,18,1.00040,3.16,0.49,9.5,R,5
12.3,0.390,0.63,2.3,0.091,6,18,1.00040,3.16,0.49,9.5,R,5
12.3,0.500,0.49,2.2,0.089,5,14,1.00020,3.19,0.44,9.6,R,5
12.3,0.500,0.49,2.2,0.089,5,14,1.00020,3.19,0.44,9.6,R,5
12.4,0.350,0.49,2.6,0.079,27,69,0.99940,3.12,0.75,10.4,R,6
12.4,0.400,0.51,2.0,0.059,6,24,0.99940,3.04,0.60,9.3,R,6
12.4,0.420,0.49,4.6,0.073,19,43,0.99780,3.02,0.61,9.5,R,5
12.4,0.490,0.58,3.0,0.103,28,99,1.00080,3.16,1.00,11.5,R,6
12.5,0.280,0.54,2.3,0.082,12,29,0.99970,3.11,1.36,9.8,R,7
12.5,0.370,0.55,2.6,0.083,25,68,0.99950,3.15,0.82,10.4,R,6
12.5,0.380,0.60,2.6,0.081,31,72,0.99960,3.10,0.73,10.5,R,5
12.5,0.460,0.49,4.5,0.070,26,49,0.99810,3.05,0.57,9.6,R,4
12.5,0.460,0.63,2.0,0.071,6,15,0.99880,2.99,0.87,10.2,R,5
12.5,0.560,0.49,2.4,0.064,5,27,0.99990,3.08,0.87,10.9,R,5
12.5,0.600,0.49,4.3,0.100,5,14,1.00100,3.25,0.74,11.9,R,6
12.6,0.310,0.72,2.2,0.072,6,29,0.99870,2.88,0.82,9.8,R,8
12.6,0.380,0.66,2.6,0.088,10,41,1.00100,3.17,0.68,9.8,R,6
12.6,0.390,0.49,2.5,0.080,8,20,0.99920,3.07,0.82,10.3,R,6
12.6,0.410,0.54,2.8,0.103,19,41,0.99939,3.21,0.76,11.3,R,6
12.7,0.590,0.45,2.3,0.082,11,22,1.00000,3.00,0.70,9.3,R,6
12.7,0.600,0.49,2.8,0.075,5,19,0.99940,3.14,0.57,11.4,R,5
12.7,0.600,0.49,2.8,0.075,5,19,0.99940,3.14,0.57,11.4,R,5
12.7,0.600,0.65,2.3,0.063,6,25,0.99970,3.03,0.57,9.9,R,5
12.8,0.300,0.74,2.6,0.095,9,28,0.99940,3.20,0.77,10.8,R,7
12.8,0.300,0.74,2.6,0.095,9,28,0.99940,3.20,0.77,10.8,R,7
12.8,0.615,0.66,5.8,0.083,7,42,1.00220,3.07,0.73,10.0,R,7
12.8,0.615,0.66,5.8,0.083,7,42,1.00220,3.07,0.73,10.0,R,7
12.8,0.840,0.63,2.4,0.088,13,35,0.99970,3.10,0.60,10.4,R,6
12.9,0.350,0.49,5.8,0.066,5,35,1.00140,3.20,0.66,12.0,R,7
12.9,0.500,0.55,2.8,0.072,7,24,1.00012,3.09,0.68,10.9,R,6
13.0,0.320,0.65,2.6,0.093,15,47,0.99960,3.05,0.61,10.6,R,5
13.0,0.470,0.49,4.3,0.085,6,47,1.00210,3.30,0.68,12.7,R,6
13.0,0.470,0.49,4.3,0.085,6,47,1.00210,3.30,0.68,12.7,R,6
13.2,0.380,0.55,2.7,0.081,5,16,1.00060,2.98,0.54,9.4,R,5
13.2,0.460,0.52,2.2,0.071,12,35,1.00060,3.10,0.56,9.0,R,6
13.2,0.460,0.52,2.2,0.071,12,35,1.00060,3.10,0.56,9.0,R,6
13.3,0.290,0.75,2.8,0.084,23,43,0.99860,3.04,0.68,11.4,R,7
13.3,0.340,0.52,3.2,0.094,17,53,1.00140,3.05,0.81,9.5,R,6
13.3,0.430,0.58,1.9,0.070,15,40,1.00040,3.06,0.49,9.0,R,5
13.4,0.270,0.62,2.6,0.082,6,21,1.00020,3.16,0.67,9.7,R,6
13.5,0.530,0.79,4.8,0.120,23,77,1.00180,3.18,0.77,13.0,R,5
13.7,0.415,0.68,2.9,0.085,17,43,1.00140,3.06,0.80,10.0,R,6
13.7,0.415,0.68,2.9,0.085,17,43,1.00140,3.06,0.80,10.0,R,6
13.8,0.490,0.67,3.0,0.093,6,15,0.99860,3.02,0.93,12.0,R,6
14.0,0.410,0.63,3.8,0.089,6,47,1.00140,3.01,0.81,10.8,R,6
14.3,0.310,0.74,1.8,0.075,6,15,1.00080,2.86,0.79,8.4,R,6
15.0,0.210,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,R,7
15.0,0.210,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,R,7
15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,R,5
15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,R,5
15.6,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,R,5
15.6,0.685,0.76,3.7,0.100,6,43,1.00320,2.95,0.68,11.2,R,7
15.9,0.360,0.65,7.5,0.096,22,71,0.99760,2.98,0.84,14.9,R,5
3.8,0.310,0.02,11.1,0.036,20,114,0.99248,3.75,0.44,12.4,W,6
3.9,0.225,0.40,4.2,0.030,29,118,0.98900,3.57,0.36,12.8,W,8
4.2,0.170,0.36,1.8,0.029,93,161,0.98999,3.65,0.89,12.0,W,7
4.2,0.215,0.23,5.1,0.041,64,157,0.99688,3.42,0.44,8.0,W,3
4.4,0.320,0.39,4.3,0.030,31,127,0.98904,3.46,0.36,12.8,W,8
4.4,0.460,0.10,2.8,0.024,31,111,0.98816,3.48,0.34,13.1,W,6
4.4,0.540,0.09,5.1,0.038,52,97,0.99022,3.41,0.40,12.2,W,7
4.5,0.190,0.21,1.0,0.033,89,159,0.99332,3.34,0.42,8.0,W,5
4.6,0.445,0.00,1.4,0.053,11,178,0.99426,3.79,0.55,10.2,W,5
4.7,0.145,0.29,1.0,0.042,35,90,0.99080,3.76,0.49,11.3,W,6
4.7,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.5,W,5
4.7,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14.0,W,7
4.7,0.670,0.09,1.0,0.020,5,9,0.98722,3.30,0.34,13.6,W,5
4.7,0.785,0.00,3.4,0.036,23,134,0.98981,3.53,0.92,13.8,W,6
4.8,0.130,0.32,1.2,0.042,40,98,0.98980,3.42,0.64,11.8,W,7
4.8,0.170,0.28,2.9,0.030,22,111,0.99020,3.38,0.34,11.3,W,7
4.8,0.210,0.21,10.2,0.037,17,112,0.99324,3.66,0.48,12.2,W,7
4.8,0.225,0.38,1.2,0.074,47,130,0.99132,3.31,0.40,10.3,W,6
4.8,0.260,0.23,10.6,0.034,23,111,0.99274,3.46,0.28,11.5,W,7
4.8,0.290,0.23,1.1,0.044,38,180,0.98924,3.28,0.34,11.9,W,6
4.8,0.330,0.00,6.5,0.028,34,163,0.99370,3.35,0.61,9.9,W,5
4.8,0.340,0.00,6.5,0.028,33,163,0.99390,3.36,0.61,9.9,W,6
4.8,0.650,0.12,1.1,0.013,4,10,0.99246,3.32,0.36,13.5,W,4
4.9,0.235,0.27,11.8,0.030,34,118,0.99540,3.07,0.50,9.4,W,6
4.9,0.330,0.31,1.2,0.016,39,150,0.98713,3.33,0.59,14.0,W,8
4.9,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.5,W,5
4.9,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.5,W,5
4.9,0.345,0.34,1.0,0.068,32,143,0.99138,3.24,0.40,10.1,W,5
4.9,0.345,0.34,1.0,0.068,32,143,0.99138,3.24,0.40,10.1,W,5
4.9,0.470,0.17,1.9,0.035,60,148,0.98964,3.27,0.35,11.5,W,6
5.0,0.170,0.56,1.5,0.026,24,115,0.99060,3.48,0.39,10.8,W,7
5.0,0.200,0.40,1.9,0.015,20,98,0.98970,3.37,0.55,12.1,W,6
5.0,0.235,0.27,11.8,0.030,34,118,0.99540,3.07,0.50,9.4,W,6
5.0,0.240,0.19,5.0,0.043,17,101,0.99438,3.67,0.57,10.0,W,5
5.0,0.240,0.21,2.2,0.039,31,100,0.99098,3.69,0.62,11.7,W,6
5.0,0.240,0.34,1.1,0.034,49,158,0.98774,3.32,0.32,13.1,W,7
5.0,0.255,0.22,2.7,0.043,46,153,0.99238,3.75,0.76,11.3,W,6
5.0,0.270,0.32,4.5,0.032,58,178,0.98956,3.45,0.31,12.6,W,7
5.0,0.270,0.32,4.5,0.032,58,178,0.98956,3.45,0.31,12.6,W,7
5.0,0.270,0.40,1.2,0.076,42,124,0.99204,3.32,0.47,10.1,W,6
5.0,0.290,0.54,5.7,0.035,54,155,0.98976,3.27,0.34,12.9,W,8
5.0,0.300,0.33,3.7,0.030,54,173,0.98870,3.36,0.30,13.0,W,7
5.0,0.310,0.00,6.4,0.046,43,166,0.99400,3.30,0.63,9.9,W,6
5.0,0.330,0.16,1.5,0.049,10,97,0.99170,3.48,0.44,10.7,W,6
5.0,0.330,0.16,1.5,0.049,10,97,0.99170,3.48,0.44,10.7,W,6
5.0,0.330,0.16,1.5,0.049,10,97,0.99170,3.48,0.44,10.7,W,6
5.0,0.330,0.18,4.6,0.032,40,124,0.99114,3.18,0.40,11.0,W,6
5.0,0.330,0.23,11.8,0.030,23,158,0.99322,3.41,0.64,11.8,W,6
5.0,0.350,0.25,7.8,0.031,24,116,0.99241,3.39,0.40,11.3,W,6
5.0,0.350,0.25,7.8,0.031,24,116,0.99241,3.39,0.40,11.3,W,6
5.0,0.440,0.04,18.6,0.039,38,128,0.99850,3.37,0.57,10.2,W,6
5.0,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14.0,W,7
5.0,0.550,0.14,8.3,0.032,35,164,0.99180,3.53,0.51,12.5,W,8
5.0,0.610,0.12,1.3,0.009,65,100,0.98740,3.26,0.37,13.5,W,5
5.1,0.110,0.32,1.6,0.028,12,90,0.99008,3.57,0.52,12.2,W,6
5.1,0.140,0.25,0.7,0.039,15,89,0.99190,3.22,0.43,9.2,W,6
5.1,0.165,0.22,5.7,0.047,42,146,0.99340,3.18,0.55,9.9,W,6
5.1,0.210,0.28,1.4,0.047,48,148,0.99168,3.50,0.49,10.4,W,5
5.1,0.230,0.18,1.0,0.053,13,99,0.98956,3.22,0.39,11.5,W,5
5.1,0.250,0.36,1.3,0.035,40,78,0.98910,3.23,0.64,12.1,W,7
5.1,0.260,0.33,1.1,0.027,46,113,0.98946,3.35,0.43,11.4,W,7
5.1,0.260,0.34,6.4,0.034,26,99,0.99449,3.23,0.41,9.2,W,6
5.1,0.290,0.28,8.3,0.026,27,107,0.99308,3.36,0.37,11.0,W,6
5.1,0.290,0.28,8.3,0.026,27,107,0.99308,3.36,0.37,11.0,W,6
5.1,0.300,0.30,2.3,0.048,40,150,0.98944,3.29,0.46,12.2,W,6
5.1,0.305,0.13,1.8,0.036,17,73,0.99000,3.40,0.51,12.3,W,5
5.1,0.310,0.30,0.9,0.037,28,152,0.99200,3.54,0.56,10.1,W,6
5.1,0.330,0.22,1.6,0.027,18,89,0.98930,3.51,0.38,12.5,W,7
5.1,0.330,0.22,1.6,0.027,18,89,0.98930,3.51,0.38,12.5,W,7
5.1,0.330,0.22,1.6,0.027,18,89,0.98930,3.51,0.38,12.5,W,7
5.1,0.330,0.27,6.7,0.022,44,129,0.99221,3.36,0.39,11.0,W,7
5.1,0.350,0.26,6.8,0.034,36,120,0.99188,3.38,0.40,11.5,W,6
5.1,0.350,0.26,6.8,0.034,36,120,0.99188,3.38,0.40,11.5,W,6
5.1,0.350,0.26,6.8,0.034,36,120,0.99188,3.38,0.40,11.5,W,6
5.1,0.390,0.21,1.7,0.027,15,72,0.98940,3.50,0.45,12.5,W,6
5.1,0.420,0.01,1.5,0.017,25,102,0.98940,3.38,0.36,12.3,W,7
5.1,0.520,0.06,2.7,0.052,30,79,0.99320,3.32,0.43,9.3,W,5
5.2,0.155,0.33,1.6,0.028,13,59,0.98975,3.30,0.84,11.9,W,8
5.2,0.155,0.33,1.6,0.028,13,59,0.98975,3.30,0.84,11.9,W,8
5.2,0.160,0.34,0.8,0.029,26,77,0.99155,3.25,0.51,10.1,W,6
5.2,0.170,0.27,0.7,0.030,11,68,0.99218,3.30,0.41,9.8,W,5
5.2,0.185,0.22,1.0,0.030,47,123,0.99218,3.55,0.44,10.2,W,6
5.2,0.200,0.27,3.2,0.047,16,93,0.99235,3.44,0.53,10.1,W,7
5.2,0.210,0.31,1.7,0.048,17,61,0.98953,3.24,0.37,12.0,W,7
5.2,0.220,0.46,6.2,0.066,41,187,0.99362,3.19,0.42,9.7,W,5
5.2,0.240,0.15,7.1,0.043,32,134,0.99378,3.24,0.48,9.9,W,6
5.2,0.240,0.45,3.8,0.027,21,128,0.99200,3.55,0.49,11.2,W,8
5.2,0.240,0.45,3.8,0.027,21,128,0.99200,3.55,0.49,11.2,W,8
5.2,0.250,0.23,1.4,0.047,20,77,0.99001,3.32,0.62,11.4,W,5
5.2,0.280,0.29,1.1,0.028,18,69,0.99168,3.24,0.54,10.0,W,6
5.2,0.285,0.29,5.2,0.035,64,138,0.98950,3.19,0.34,12.4,W,8
5.2,0.300,0.34,1.5,0.038,18,96,0.98942,3.56,0.48,13.0,W,8
5.2,0.310,0.20,2.4,0.027,27,117,0.98886,3.56,0.45,13.0,W,7
5.2,0.310,0.36,5.1,0.031,46,145,0.98970,3.14,0.31,12.4,W,7
5.2,0.335,0.20,1.7,0.033,17,74,0.99002,3.34,0.48,12.3,W,6
5.2,0.340,0.37,6.2,0.031,42,133,0.99076,3.25,0.41,12.5,W,6
5.2,0.360,0.02,1.6,0.031,24,104,0.98960,3.44,0.35,12.2,W,6
5.2,0.365,0.08,13.5,0.041,37,142,0.99700,3.46,0.39,9.9,W,6
5.2,0.370,0.33,1.2,0.028,13,81,0.99020,3.37,0.38,11.7,W,6
5.2,0.380,0.26,7.7,0.053,20,103,0.99250,3.27,0.45,12.2,W,6
5.2,0.405,0.15,1.5,0.038,10,44,0.99125,3.52,0.40,11.6,W,4
5.2,0.440,0.04,1.4,0.036,43,119,0.98940,3.36,0.33,12.1,W,8
5.2,0.440,0.04,1.4,0.036,43,119,0.98940,3.36,0.33,12.1,W,8
5.2,0.500,0.18,2.0,0.036,23,129,0.98949,3.36,0.77,13.4,W,7
5.2,0.600,0.07,7.0,0.044,33,147,0.99440,3.33,0.58,9.7,W,5
5.3,0.160,0.39,1.0,0.028,40,101,0.99156,3.57,0.59,10.6,W,6
5.3,0.160,0.39,1.0,0.028,40,101,0.99156,3.57,0.59,10.6,W,6
5.3,0.165,0.24,1.1,0.051,25,105,0.99250,3.32,0.47,9.1,W,5
5.3,0.200,0.31,3.6,0.036,22,91,0.99278,3.41,0.50,9.8,W,6
5.3,0.210,0.29,0.7,0.028,11,66,0.99215,3.30,0.40,9.8,W,5
5.3,0.230,0.56,0.9,0.041,46,141,0.99119,3.16,0.62,9.7,W,5
5.3,0.240,0.33,1.3,0.033,25,97,0.99060,3.59,0.38,11.0,W,8
5.3,0.260,0.23,5.2,0.034,48,160,0.99520,3.82,0.51,10.5,W,7
5.3,0.275,0.24,7.4,0.038,28,114,0.99313,3.38,0.51,11.0,W,6
5.3,0.300,0.16,4.2,0.029,37,100,0.99050,3.30,0.36,11.8,W,8
5.3,0.300,0.20,1.1,0.077,48,166,0.99440,3.30,0.54,8.7,W,4
5.3,0.300,0.30,1.2,0.029,25,93,0.98742,3.31,0.40,13.6,W,7
5.3,0.310,0.38,10.5,0.031,53,140,0.99321,3.34,0.46,11.7,W,6
5.3,0.310,0.38,10.5,0.031,53,140,0.99321,3.34,0.46,11.7,W,6
5.3,0.320,0.12,6.6,0.043,22,141,0.99370,3.36,0.60,10.4,W,6
5.3,0.320,0.23,9.7,0.026,26,119,0.99168,3.18,0.53,12.2,W,6
5.3,0.330,0.30,1.2,0.048,25,119,0.99045,3.32,0.62,11.3,W,6
5.3,0.360,0.27,6.3,0.028,40,132,0.99186,3.37,0.40,11.6,W,6
5.3,0.360,0.27,6.3,0.028,40,132,0.99186,3.37,0.40,11.6,W,6
5.3,0.395,0.07,1.3,0.035,26,102,0.99200,3.50,0.35,10.6,W,6
5.3,0.400,0.25,3.9,0.031,45,130,0.99072,3.31,0.58,11.8,W,7
5.3,0.430,0.11,1.1,0.029,6,51,0.99076,3.51,0.48,11.2,W,4
5.3,0.470,0.10,1.3,0.036,11,74,0.99082,3.48,0.54,11.2,W,4
5.3,0.580,0.07,6.9,0.043,34,149,0.99440,3.34,0.57,9.7,W,5
5.3,0.585,0.07,7.1,0.044,34,145,0.99450,3.34,0.57,9.7,W,6
5.3,0.600,0.34,1.4,0.031,3,60,0.98854,3.27,0.38,13.0,W,6
5.3,0.760,0.03,2.7,0.043,27,93,0.99320,3.34,0.38,9.2,W,5
5.4,0.150,0.32,2.5,0.037,10,51,0.98878,3.04,0.58,12.6,W,6
5.4,0.170,0.27,2.7,0.049,28,104,0.99224,3.46,0.55,10.3,W,6
5.4,0.180,0.24,4.8,0.041,30,113,0.99445,3.42,0.40,9.4,W,6
5.4,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,W,6
5.4,0.205,0.16,12.6,0.051,31,115,0.99564,3.40,0.38,10.8,W,6
5.4,0.220,0.29,1.2,0.045,69,152,0.99178,3.76,0.63,11.0,W,7
5.4,0.220,0.35,6.5,0.029,26,87,0.99092,3.29,0.44,12.5,W,7
5.4,0.230,0.36,1.5,0.030,74,121,0.98976,3.24,0.99,12.1,W,7
5.4,0.240,0.18,2.3,0.050,22,145,0.99207,3.24,0.46,10.3,W,5
5.4,0.255,0.33,1.2,0.051,29,122,0.99048,3.37,0.66,11.3,W,6
5.4,0.265,0.28,7.8,0.052,27,91,0.99432,3.19,0.38,10.4,W,6
5.4,0.270,0.22,4.6,0.022,29,107,0.98889,3.33,0.54,13.8,W,6
5.4,0.290,0.38,1.2,0.029,31,132,0.98895,3.28,0.36,12.4,W,6
5.4,0.290,0.38,1.2,0.029,31,132,0.98895,3.28,0.36,12.4,W,6
5.4,0.290,0.47,3.0,0.052,47,145,0.99300,3.29,0.75,10.0,W,6
5.4,0.300,0.30,1.2,0.029,25,93,0.98742,3.31,0.40,13.6,W,7
5.4,0.310,0.47,3.0,0.053,46,144,0.99310,3.29,0.76,10.0,W,5
5.4,0.330,0.31,4.0,0.030,27,108,0.99031,3.30,0.43,12.2,W,7
